ticker,form,filingDate,reportDate,accessionNumber
AAPL,4,2025-10-03,2025-10-01,0001214156-25-000011
AAPL,4,2025-10-03,2025-10-01,0001767094-25-000009
AAPL,4,2025-10-03,2025-10-01,0002078476-25-000005
AAPL,4,2025-10-03,2025-10-01,0001462356-25-000010
AAPL,144,2025-10-02,,0001950047-25-007713
AAPL,144/A,2025-10-02,,0001959173-25-006313
AAPL,144,2025-10-02,,0001969223-25-000824
AAPL,144,2025-10-02,,0001959173-25-006307
AAPL,144,2025-10-02,,0001969223-25-000822
AAPL,4,2025-09-30,2025-09-28,0002050912-25-000006
