EMA_short,EMA_long,Total Return,CAGR,Volatility,Sharpe Ratio,Max Drawdown
50,250,-1.0,-0.9996209561673568,10.387632202045845,-0.09623183962659762,-1.0
50,200,-1.0,-0.9999951117805664,9.996126561814975,-0.1000382603798285,-1.0
30,250,-1.0,-0.9999992991882547,9.900650134471874,-0.10100339731291769,-1.0
50,150,-1.0,-0.9999998480011596,9.535010137479288,-0.10487664235095646,-1.0
30,200,-1.0,-0.9999999764238311,9.422008250851643,-0.10613448320143876,-1.0
20,250,-1.0,-0.9999999990765444,9.183852524718603,-0.10888676580825048,-1.0
30,150,-1.0,-0.9999999996836306,8.942653159982392,-0.1118236368775371,-1.0
50,100,-1.0,-0.999999998863821,8.924294662424415,-0.11205367333670674,-1.0
20,200,-1.0,-0.9999999999435346,8.84998066518803,-0.1129945971381722,-1.0
30,100,-1.0,-0.9999999999868204,8.424312456510764,-0.11870404916118305,-1.0
20,150,-1.0,-0.9999999999987537,8.369556430682147,-0.11948064491599948,-1.0
10,250,-1.0,-0.9999999999999981,7.819793669191643,-0.1278806119833813,-1.0
20,100,-1.0,-0.9999999999999948,7.591122906058857,-0.13173281639292714,-1.0
10,200,-1.0,-1.0,7.295702084289978,-0.13706700033069136,-1.0
10,150,-1.0,-1.0,6.731354027983113,-0.1485585211894769,-1.0
10,100,-1.0,-1.0,6.358681023402865,-0.1572653190684579,-1.0
5,250,-1.0,-1.0,6.204963814722139,-0.16116129438617532,-1.0
5,200,-1.0,-1.0,5.896764524411722,-0.16958452314996636,-1.0
5,150,-1.0,-1.0,5.549175454320739,-0.1802069529485453,-1.0
5,100,-1.0,-1.0,5.189147017038548,-0.19270989947220674,-1.0
